id,code,acronym,name,subject_id:id
"ims.outcome_048501","048501","RA1","Reconeix l'estructura d'un programa informàtic, identificant i relacionant els elements propis del llenguatge de programació utilitzat.","ims.subject_0485"
"ims.outcome_048502","048502","RA2","Escriu i prova programes senzills, reconeixent i aplicant els fonaments de la programació orientada a objectes.","ims.subject_0485"
"ims.outcome_048503","048503","RA3","Escriu i depura codi, analitzant i utilitzant les estructures de control del llenguatge.","ims.subject_0485"
"ims.outcome_048504","048504","RA4","Desenvolupa programes organitzats en classes analitzant i aplicant els principis de la programació orientada a objectes.","ims.subject_0485"
"ims.outcome_048505","048505","RA5","Realitza operacions d'entrada i sortida d'informació, utilitzant procediments específics del llenguatge i llibreries de classes.","ims.subject_0485"
"ims.outcome_048506","048506","RA6","Escriu programes que manipulin informació seleccionant i utilitzant tipus avançats de dades.","ims.subject_0485"
"ims.outcome_048507","048507","RA7","Desenvolupa programes aplicant característiques avançades dels llenguatges orientats a objectes i de l'entorn de programació.","ims.subject_0485"
"ims.outcome_048508","048508","RA8","Utilitza bases de dades orientades a objectes, analitzant-ne les característiques i aplicant tècniques per mantenir la persistència de la informació.","ims.subject_0485"
"ims.outcome_048509","048509","RA9","Gestiona informació emmagatzemada en bases de dades mantenint la integritat i consistència de les dades.","ims.subject_0485"
"ims.outcome_048701","048701","RA1","Reconeix els elements i les eines que intervenen en el desenvolupament d'un programa informàtic, analitzant-ne les característiques i les fases en què actuen fins a arribar a la posada en funcionament.","ims.subject_0487"
"ims.outcome_048702","048702","RA2","Avalua entorns integrats de desenvolupament analitzant-ne les característiques per editar codi font i generar executables.","ims.subject_0487"
"ims.outcome_048703","048703","RA3","Verifica el funcionament de programes dissenyant i realitzant proves.","ims.subject_0487"
"ims.outcome_048704","048704","RA4","Optimitza codi utilitzant les eines disponibles a l'entorn de desenvolupament.","ims.subject_0487"
"ims.outcome_048705","048705","RA5","Genera diagrames de classes valorant-ne la importància en el desenvolupament d'aplicacions i emprant eines específiques.","ims.subject_0487"
"ims.outcome_048706","048706","RA6","Genera diagrames de comportament valorant-ne la importància en el desenvolupament d'aplicacions i emprant eines específiques.","ims.subject_0487"
